Item,Part Number,Thumbnail,BOM Structure,Unit QTY,QTY,Stock Number,Description,REV
94,217-3488-STEP,(NonDisplayable),Normal,1,5,,STEP AP214,ANY
95,Part13,(NonDisplayable),Normal,1,4,,,
96,chainguard,(NonDisplayable),Normal,1,1,,,
97,arm_new1,(NonDisplayable),Normal,1,1,,,
98,railholderleft,(NonDisplayable),Normal,1,2,,,
99,rail gusset ,(NonDisplayable),Normal,1,1,,,
100,rail gusset _MIR,(NonDisplayable),Normal,1,1,,,
101,Roller Drum 10-Inch,(NonDisplayable),Normal,1,1,,,
102,Roller Drum 4-Inch,(NonDisplayable),Normal,1,2,,,
103,Part4,(NonDisplayable),Normal,1,2,,,
104,railtop,(NonDisplayable),Normal,1,2,,,
105,superstructure,(NonDisplayable),Normal,1,2,,,
106,supportbeam1,(NonDisplayable),Normal,1,3,,,
107,supportbeam2,(NonDisplayable),Normal,1,3,,,
108,superstructure2,(NonDisplayable),Normal,1,2,,,
109,flywheelsupport,(NonDisplayable),Normal,1,2,,,
110,flywheelsupport2,(NonDisplayable),Normal,1,2,,,
111,aimingrails,(NonDisplayable),Normal,1,4,,,
112,bolt,(NonDisplayable),Normal,1,8,,,
113,boltholder,(NonDisplayable),Normal,1,4,,,
114,aimingcontrol,(NonDisplayable),Normal,1,2,,,
115,rollerwheelpoweraxel,(NonDisplayable),Normal,1,1,,,
116,rod3,(NonDisplayable),Normal,1,1,,,
117,top,(NonDisplayable),Normal,1,1,,,
118,gusset plate,(NonDisplayable),Normal,1,2,,,
119,ramp gusset,(NonDisplayable),Normal,1,1,,,
120,ball,(NonDisplayable),Normal,1,1,,,
121,am-2231a+375+Hex+Hub+r3,(NonDisplayable),Normal,1,2,,STEP AP203,ANY
122,217-2735.20121205-2,(NonDisplayable),Normal,1,4,,STEP AP203,ANY
123,3-8 hex axle,(NonDisplayable),Normal,1,1,,,
124,fly wheel gusset,(NonDisplayable),Normal,1,2,,,
125,angle gusset,(NonDisplayable),Normal,1,2,,,
126,angle gusset 2,(NonDisplayable),Normal,1,1,,,
127,Lbracket,(NonDisplayable),Normal,1,4,,,
128,am-2923+PG27+With+Encoder,(NULL),Normal,1,1,,STEP AP214,
129,vertical support,(NonDisplayable),Normal,1,2,,,
